DATE,GAME_ID,TEAM,TEAM_LVL,PLAYER_ID,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
2022-10-18,22200001,Boston,중위팀,1630573,0,3.3166666666666664,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,1,0,3
2022-10-18,22200001,Boston,중위팀,1628369,F,38.61666666666667,13,20,0.65,2,7,0.286,7,9,0.778,0,12.0,12,4,1,1,3,1,35,10
2022-10-18,22200001,Boston,중위팀,201933,0,8.283333333333333,0,2,0.0,0,1,0.0,1,2,0.5,2,3.0,5,1,0,0,0,3,1,-5
2022-10-18,22200001,Boston,중위팀,1627763,0,23.866666666666667,7,11,0.636,0,2,0.0,2,2,1.0,1,1.0,2,4,2,0,1,2,16,9
2022-10-18,22200001,Boston,중위팀,1629684,0,23.95,5,5,1.0,3,3,1.0,2,3,0.667,0,1.0,1,1,0,0,0,3,15,-3
2022-10-18,22200001,Boston,중위팀,203943,0,20.166666666666668,1,2,0.5,0,0,0.0,0,0,0.0,0,2.0,2,0,1,1,0,4,2,7
2022-10-18,22200001,Boston,중위팀,1628401,G,24.033333333333335,1,3,0.333,0,1,0.0,0,1,0.0,1,2.0,3,4,1,0,1,2,2,9
2022-10-18,22200001,Boston,중위팀,201143,C,23.1,2,7,0.286,2,5,0.4,0,0,0.0,1,4.0,5,1,0,0,0,4,6,8
2022-10-18,22200001,Boston,중위팀,1627759,F,38.56666666666667,14,24,0.583,4,12,0.333,3,3,1.0,0,3.0,3,2,2,1,4,1,35,7
2022-10-18,22200001,Philadelphia,상위팀,1630178,G,38.2,8,16,0.5,2,5,0.4,3,3,1.0,0,1.0,1,2,2,0,1,5,21,-6
2022-10-18,22200001,Philadelphia,상위팀,1627777,0,12.133333333333333,1,4,0.25,1,3,0.333,0,0,0.0,0,0.0,0,1,0,0,0,1,3,-5
2022-10-18,22200001,Philadelphia,상위팀,1627863,0,16.2,0,2,0.0,0,1,0.0,1,2,0.5,0,1.0,1,1,2,0,1,2,1,-5
2022-10-18,22200001,Philadelphia,상위팀,1629001,0,20.55,2,4,0.5,1,2,0.5,0,0,0.0,0,0.0,0,0,1,0,0,2,5,-13
2022-10-18,22200001,Philadelphia,상위팀,1626149,0,10.733333333333333,1,3,0.333,0,0,0.0,0,0,0.0,0,0.0,0,0,0,1,1,3,2,4
2022-10-18,22200001,Philadelphia,상위팀,201935,G,37.266666666666666,9,14,0.643,5,9,0.556,12,12,1.0,0,8.0,8,7,0,0,3,3,35,1
2022-10-18,22200001,Philadelphia,상위팀,203954,C,37.266666666666666,9,18,0.5,1,6,0.167,7,9,0.778,1,14.0,15,5,0,1,6,4,26,-13
2022-10-18,22200001,Philadelphia,상위팀,200782,F,33.016666666666666,3,5,0.6,0,2,0.0,0,0,0.0,2,2.0,4,0,0,1,2,2,6,-6
2022-10-18,22200001,Philadelphia,상위팀,202699,F,34.233333333333334,7,14,0.5,3,6,0.5,1,2,0.5,1,1.0,2,0,3,0,0,3,18,-1
2022-10-18,22200002,L.A. Lakers,중위팀,1629022,F,29.283333333333335,2,7,0.286,0,3,0.0,1,2,0.5,1,2.0,3,5,1,1,2,0,5,-13
2022-10-18,22200001,Philadelphia,상위팀,1629680,0,0.4,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,-1
2022-10-18,22200002,L.A. Lakers,중위팀,2544,F,35.2,12,26,0.462,3,10,0.3,4,4,1.0,5,10.0,15,8,0,0,5,2,31,-10
2022-10-18,22200001,Boston,중위팀,203935,G,36.083333333333336,3,8,0.375,1,4,0.25,7,8,0.875,1,2.0,3,7,1,0,1,3,14,0
2022-10-18,22200002,L.A. Lakers,중위팀,201566,G,30.683333333333334,7,12,0.583,1,3,0.333,4,5,0.8,1,10.0,11,3,1,0,4,1,19,-6
2022-10-18,22200002,Golden State,중위팀,1630541,0,7.583333333333333,2,4,0.5,1,3,0.333,0,0,0.0,0,1.0,1,0,0,0,0,0,5,1
2022-10-18,22200002,Golden State,중위팀,1628978,0,21.616666666666667,3,6,0.5,1,2,0.5,1,2,0.5,0,2.0,2,2,1,0,4,2,8,-5
2022-10-18,22200002,Golden State,중위팀,1630228,0,13.066666666666666,0,3,0.0,0,2,0.0,0,0,0.0,1,2.0,3,0,0,1,2,2,0,-8
2022-10-18,22200002,Golden State,중위팀,203210,0,23.433333333333334,3,6,0.5,2,3,0.667,0,0,0.0,5,2.0,7,0,1,0,0,1,8,-3
2022-10-18,22200002,Golden State,중위팀,1630164,0,16.516666666666666,4,6,0.667,0,0,0.0,0,4,0.0,1,6.0,7,0,0,1,0,2,8,-11
2022-10-18,22200002,Golden State,중위팀,1629673,0,28.183333333333334,4,15,0.267,2,9,0.222,2,2,1.0,0,2.0,2,7,2,0,4,2,12,1
2022-10-18,22200002,Golden State,중위팀,201939,G,32.8,10,22,0.455,4,13,0.308,9,9,1.0,1,5.0,6,7,4,1,4,1,33,20
2022-10-18,22200002,Golden State,중위팀,202691,G,19.65,6,13,0.462,2,6,0.333,4,5,0.8,0,2.0,2,3,1,0,2,3,18,11
2022-10-18,22200002,Golden State,중위팀,1626172,C,21.133333333333333,3,4,0.75,0,0,0.0,1,1,1.0,2,4.0,6,2,1,0,0,2,7,30
2022-10-18,22200002,Golden State,중위팀,203110,F,24.683333333333334,2,5,0.4,0,0,0.0,0,0,0.0,0,5.0,5,5,0,0,1,1,4,12
