DATE,GAME_ID,SEASON,HOME_TEAM,HOME_TEAM_LVL,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,VISITOR_TEAM,VISITOR_TEAM_LVL,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2019-10-04,11900003,2019,Sacramento,중위팀,131,0.494,0.778,0.417,30,30,Indiana,중위팀,132,0.516,0.7879999999999999,0.37,26,47,0
2019-10-04,11900002,2019,L.A. Clippers,,96,0.384,0.6,0.273,26,49,Houston,하위팀,109,0.375,0.8,0.2289999999999999,21,52,0
2019-10-05,11900006,2019,Golden State,중위팀,101,0.3929999999999999,0.769,0.262,20,47,L.A. Lakers,중위팀,123,0.475,0.633,0.303,32,58,0
2019-10-05,11900005,2019,Indiana,중위팀,130,0.521,0.944,0.517,35,51,Sacramento,중위팀,106,0.3779999999999999,0.78,0.353,24,35,1
2019-10-05,11900007,2019,San Antonio,중위팀,89,0.3879999999999999,0.75,0.444,22,40,Orlando,하위팀,125,0.526,0.7140000000000001,0.361,29,47,0
2019-10-06,11900010,2019,Boston,중위팀,107,0.46,0.708,0.286,23,41,Charlotte,중위팀,106,0.444,0.8,0.368,29,48,1
2019-10-07,11900016,2019,Chicago,중위팀,112,0.3779999999999999,0.684,0.316,24,45,Milwaukee,상위팀,122,0.477,0.84,0.37,24,59,0
2019-10-07,11900015,2019,Atlanta,중위팀,109,0.46,0.625,0.341,26,44,New Orleans,중위팀,133,0.455,0.828,0.3779999999999999,25,54,0
2019-10-07,11900014,2019,Washington,중위팀,99,0.351,0.792,0.255,26,54,New York,중위팀,104,0.418,0.684,0.429,25,55,0
2019-10-07,11900013,2019,Detroit,하위팀,91,0.337,0.7040000000000001,0.27,22,53,Orlando,하위팀,115,0.455,0.667,0.429,32,57,0
2019-10-08,11900023,2019,Portland,중위팀,94,0.341,0.765,0.2,19,51,Denver,상위팀,105,0.447,0.769,0.31,21,49,0
2019-10-08,11900022,2019,Phoenix,상위팀,111,0.5,0.762,0.304,20,49,Minnesota,중위팀,106,0.419,0.87,0.205,23,42,1
2019-10-08,11900021,2019,Oklahoma City,하위팀,119,0.532,0.657,0.5,24,50,Dallas,중위팀,104,0.362,0.742,0.26,22,45,1
2019-10-08,11900019,2019,Miami,상위팀,107,0.461,0.81,0.25,25,49,San Antonio,중위팀,89,0.4,0.8079999999999999,0.308,21,37,1
2019-10-08,11900017,2019,Toronto,중위팀,134,0.506,0.8420000000000001,0.375,30,54,Houston,하위팀,129,0.479,0.655,0.34,25,35,1
2019-10-09,11900026,2019,Atlanta,중위팀,88,0.3379999999999999,0.821,0.275,21,52,Orlando,하위팀,97,0.376,0.6759999999999999,0.294,21,48,0
2019-10-09,11900024,2019,Detroit,하위팀,124,0.517,0.7,0.4,31,43,Dallas,중위팀,117,0.4679999999999999,0.789,0.371,22,32,1
2019-10-09,11900028,2019,Chicago,중위팀,125,0.471,0.765,0.3779999999999999,38,47,New Orleans,중위팀,127,0.545,0.708,0.424,40,45,0
2019-10-09,11900029,2019,Milwaukee,상위팀,133,0.568,0.667,0.417,29,42,Utah,상위팀,99,0.3720000000000001,0.853,0.207,14,49,1
2019-10-09,11900027,2019,Charlotte,중위팀,94,0.412,0.762,0.222,19,42,Miami,상위팀,108,0.483,1.0,0.405,23,43,0
2019-10-10,11900036,2019,L.A. Clippers,,91,0.4379999999999999,0.565,0.308,28,33,Denver,상위팀,111,0.506,0.762,0.28,28,51,0
2019-10-10,11900035,2019,Golden State,중위팀,143,0.526,0.889,0.514,34,50,Minnesota,중위팀,123,0.407,0.84,0.286,27,51,1
2019-10-10,11900034,2019,Sacramento,중위팀,105,0.411,0.8,0.355,20,59,Phoenix,상위팀,88,0.314,0.8240000000000001,0.182,16,43,1
2019-10-10,11900031,2019,L.A. Lakers,중위팀,111,0.4320000000000001,0.7829999999999999,0.3929999999999999,30,45,Brooklyn,중위팀,114,0.45,0.759,0.488,26,42,0
2019-10-10,11900030,2019,Houston,하위팀,118,0.3879999999999999,0.7809999999999999,0.266,26,52,Toronto,중위팀,111,0.391,0.737,0.297,24,52,1
2019-10-11,11900037,2019,Detroit,하위팀,109,0.482,0.742,0.182,25,46,Cleveland,하위팀,105,0.43,0.792,0.353,17,40,1
2019-10-11,11900038,2019,Indiana,중위팀,105,0.439,0.7,0.353,26,50,Chicago,중위팀,87,0.376,0.5710000000000001,0.185,14,48,1
2019-10-11,11900039,2019,Orlando,하위팀,75,0.313,0.654,0.1939999999999999,18,44,Boston,중위팀,100,0.419,0.833,0.308,25,59,0
2019-10-11,11900042,2019,New Orleans,중위팀,128,0.517,0.862,0.433,20,37,Utah,상위팀,127,0.59,0.667,0.5,37,35,1
2019-10-11,11900041,2019,New York,중위팀,99,0.39,0.7809999999999999,0.294,21,52,Washington,중위팀,115,0.449,0.696,0.4629999999999999,23,43,0
2019-10-11,11900043,2019,Dallas,중위팀,111,0.3939999999999999,0.6559999999999999,0.32,27,50,Milwaukee,상위팀,118,0.5,0.708,0.425,30,47,0
2019-10-11,11900040,2019,Charlotte,중위팀,87,0.363,0.885,0.286,22,46,Philadelphia,상위팀,100,0.4579999999999999,0.682,0.25,27,49,0
2019-10-12,11900045,2019,Portland,중위팀,118,0.532,0.639,0.379,26,41,Phoenix,상위팀,134,0.506,0.88,0.5329999999999999,29,43,0
2019-10-12,11900044,2019,Brooklyn,중위팀,91,0.4579999999999999,0.667,0.371,25,44,L.A. Lakers,중위팀,77,0.337,0.632,0.156,14,39,1
2019-10-13,11900046,2019,Boston,중위팀,118,0.511,0.591,0.433,28,49,Cleveland,하위팀,72,0.3289999999999999,0.722,0.175,11,42,1
2019-10-13,11900048,2019,San Antonio,중위팀,114,0.4629999999999999,0.838,0.375,24,38,New Orleans,중위팀,123,0.489,0.767,0.3329999999999999,26,45,0
2019-10-13,11900050,2019,Toronto,중위팀,91,0.4,0.581,0.31,25,40,Chicago,중위팀,105,0.411,0.813,0.3670000000000001,26,57,0
2019-10-13,11900049,2019,Orlando,하위팀,94,0.391,0.6920000000000001,0.25,23,34,Philadelphia,상위팀,126,0.525,0.784,0.419,29,54,0
2019-10-13,11900051,2019,Washington,중위팀,108,0.4320000000000001,0.5,0.413,24,42,Milwaukee,상위팀,115,0.5,0.958,0.353,26,44,0
