DATE,GAME_ID,SEASON,HOME_TEAM,HOME_TEAM_LVL,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,VISITOR_TEAM,VISITOR_TEAM_LVL,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2019-10-22,21900002,2019,L.A. Clippers,,112,0.519,0.708,0.355,24,45,L.A. Lakers,중위팀,102,0.435,0.7140000000000001,0.3939999999999999,20,41,1
2019-10-22,21900001,2019,Toronto,중위팀,130,0.408,0.8420000000000001,0.35,23,57,New Orleans,중위팀,122,0.422,0.85,0.422,30,53,1
2019-10-23,21900005,2019,Orlando,하위팀,94,0.43,0.579,0.3,24,46,Cleveland,하위팀,85,0.375,0.667,0.265,20,54,1
2019-10-23,21900006,2019,Brooklyn,중위팀,126,0.475,0.5770000000000001,0.441,19,48,Minnesota,중위팀,127,0.426,0.7859999999999999,0.302,23,52,0
2019-10-23,21900003,2019,Charlotte,중위팀,126,0.511,0.813,0.523,28,41,Chicago,중위팀,125,0.467,0.818,0.3,25,49,1
2019-10-23,21900004,2019,Indiana,중위팀,110,0.461,0.833,0.381,26,36,Detroit,하위팀,119,0.526,0.7879999999999999,0.4579999999999999,26,45,0
2019-10-23,21900007,2019,Miami,상위팀,120,0.471,0.846,0.389,18,51,Memphis,중위팀,101,0.4270000000000001,0.667,0.156,22,40,1
2019-10-23,21900011,2019,Utah,상위팀,100,0.444,0.7,0.25,15,49,Oklahoma City,하위팀,95,0.386,0.677,0.37,15,48,1
2019-10-23,21900009,2019,Dallas,중위팀,108,0.461,0.818,0.306,17,46,Washington,중위팀,100,0.3979999999999999,0.833,0.268,26,47,1
2019-10-23,21900010,2019,San Antonio,중위팀,120,0.506,0.8059999999999999,0.3329999999999999,22,51,New York,중위팀,111,0.4679999999999999,0.722,0.3329999999999999,24,39,1
2019-10-23,21900013,2019,Portland,중위팀,100,0.414,0.913,0.25,13,48,Denver,상위팀,108,0.42,0.815,0.563,24,45,0
2019-10-23,21900012,2019,Phoenix,상위팀,124,0.5,0.833,0.3329999999999999,31,44,Sacramento,중위팀,95,0.391,0.654,0.345,17,47,1
2019-10-23,21900008,2019,Philadelphia,상위팀,107,0.435,0.722,0.241,24,62,Boston,중위팀,93,0.3670000000000001,0.588,0.2689999999999999,18,41,1
2019-10-24,21900016,2019,Golden State,중위팀,122,0.3939999999999999,0.967,0.357,27,42,L.A. Clippers,,141,0.625,0.767,0.563,33,39,0
2019-10-24,21900015,2019,Houston,하위팀,111,0.3670000000000001,0.7440000000000001,0.3329999999999999,25,57,Milwaukee,상위팀,117,0.465,0.5,0.348,31,53,0
2019-10-24,21900014,2019,Detroit,하위팀,100,0.412,0.909,0.27,20,39,Atlanta,중위팀,117,0.512,0.857,0.355,27,42,0
2019-10-25,21900017,2019,Boston,중위팀,112,0.385,0.938,0.342,21,56,Toronto,중위팀,106,0.474,0.8240000000000001,0.5,22,46,1
2019-10-25,21900018,2019,Charlotte,중위팀,99,0.44,0.5,0.414,26,42,Minnesota,중위팀,121,0.473,0.742,0.316,30,52,0
2019-10-25,21900019,2019,Brooklyn,중위팀,113,0.474,0.6759999999999999,0.4320000000000001,21,46,New York,중위팀,109,0.469,0.5710000000000001,0.68,17,39,1
2019-10-25,21900020,2019,Memphis,중위팀,102,0.415,0.7,0.345,24,56,Chicago,중위팀,110,0.43,0.75,0.286,18,45,0
2019-10-25,21900022,2019,Oklahoma City,하위팀,85,0.3979999999999999,0.636,0.217,14,49,Washington,중위팀,97,0.402,0.8,0.268,21,47,0
2019-10-25,21900023,2019,Denver,상위팀,108,0.391,0.8059999999999999,0.259,21,45,Phoenix,상위팀,107,0.395,0.969,0.286,25,54,1
2019-10-25,21900024,2019,Sacramento,중위팀,112,0.425,0.852,0.405,17,43,Portland,중위팀,122,0.541,0.8640000000000001,0.3670000000000001,23,40,0
2019-10-25,21900025,2019,L.A. Lakers,중위팀,95,0.395,0.792,0.308,19,42,Utah,상위팀,86,0.414,0.952,0.32,19,40,1
2019-10-25,21900021,2019,New Orleans,중위팀,116,0.4589999999999999,0.733,0.366,30,48,Dallas,중위팀,123,0.484,0.731,0.35,23,49,0
2019-10-26,21900028,2019,Atlanta,중위팀,103,0.512,0.5329999999999999,0.3,22,52,Orlando,하위팀,99,0.354,0.923,0.161,15,46,1
2019-10-26,21900026,2019,Milwaukee,상위팀,126,0.436,0.7709999999999999,0.315,22,47,Miami,상위팀,131,0.455,0.639,0.364,33,54,0
2019-10-26,21900027,2019,Detroit,하위팀,111,0.539,0.583,0.421,20,35,Philadelphia,상위팀,117,0.483,0.667,0.382,30,38,0
2019-10-26,21900029,2019,New York,중위팀,95,0.3779999999999999,0.765,0.259,15,55,Boston,중위팀,118,0.452,0.655,0.366,24,46,0
2019-10-26,21900033,2019,San Antonio,중위팀,124,0.4629999999999999,0.8240000000000001,0.357,29,53,Washington,중위팀,122,0.495,0.706,0.471,30,41,1
2019-10-26,21900031,2019,Chicago,중위팀,84,0.299,0.68,0.257,18,45,Toronto,중위팀,108,0.4629999999999999,0.944,0.357,27,59,0
2019-10-26,21900032,2019,Houston,하위팀,126,0.457,0.9,0.289,27,45,New Orleans,중위팀,123,0.46,0.813,0.36,27,42,1
2019-10-26,21900034,2019,Utah,상위팀,113,0.564,0.583,0.486,28,43,Sacramento,중위팀,81,0.37,0.8240000000000001,0.2689999999999999,16,31,1
2019-10-26,21900035,2019,Phoenix,상위팀,130,0.5,0.794,0.395,32,49,L.A. Clippers,,122,0.46,0.795,0.344,20,41,1
2019-10-26,21900030,2019,Cleveland,하위팀,110,0.5,0.655,0.355,23,44,Indiana,중위팀,99,0.4479999999999999,0.846,0.357,23,36,1
2019-10-27,21900040,2019,L.A. Lakers,중위팀,120,0.527,0.7859999999999999,0.355,30,47,Charlotte,중위팀,101,0.385,0.913,0.286,19,45,1
